Subject,Cond,MotCheck1,MotCheck2,MotCheck3,MsgType1,MsgType2,ValCheck1,ValCheck2,ValCheck3,age,attbase1.1,attbase1.2,attbase1.3,attbase1.4,attbase1.5,attbase1.6,attbase1.7,attbase2.1,attbase2.2,attbase2.3,attbase2.4,attbase2.5,attbase2.6,attbase2.7,attbase2.8,gen,ovatt1.1,ovatt1.2,ovatt1.3,ovatt1.4,ovatt2.1,ovatt2.2,ovatt2.3,ovatt2.4,tCogLoadCheck,tCogLoadList,tInitialEss,tInst,tInst2,tInst3,tInstCogLoad,tMatchedMessage,tMotCheck1,tMotCheck2,tMotCheck3,tMsgType1,tMsgType2,tValCheck1,tValCheck2,tValCheck3,tage,tattbase1.1,tattbase1.2,tattbase1.3,tattbase1.4,tattbase1.5,tattbase1.6,tattbase1.7,tattbase2.1,tattbase2.2,tattbase2.3,tattbase2.4,tattbase2.5,tattbase2.6,tattbase2.7,tattbase2.8,tgen,tovatt1.1,tovatt1.2,tovatt1.3,tovatt1.4,tovatt2.1,tovatt2.2,tovatt2.3,tovatt2.4,Order Number
1,1,9,9,9,7,7,1,1,9,23,9,6,11,11,11,9,8,8,7,6,6,6,6,9,6,2,11,6,9,9,2,2,2,2,60102,120097,64984,8108,5735,1641,8109,61506,3857,3090,5403,12980,6280,9473,2874,11867,2876,1105,4327,2168,1557,1249,2698,2132,1115,1905,4239,1700,1591,2014,2581,1598,2982,2809,5185,2013,1983,2763,2196,777,736,3
9,1,8,4,6,5,5,1,1,1,22,10,7,6,10,8,6,6,6,6,6,6,6,6,6,6,1,10,8,9,8,6,6,5,5,60078,120064,63691,20166,7229,2541,4852,63917,5961,5013,11464,8387,3184,8182,1812,6218,2975,1530,2826,1580,2202,1515,2088,3326,11581,1778,1328,1482,1499,7788,1619,2092,8445,5402,2491,1390,1986,8650,1079,4009,1898,19
17,1,5,5,5,2,6,1,2,3,23,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,8,9,9,9,6,6,6,6,60058,120041,105255,6883,12458,1054,1819,89133,4750,1324,1031,4649,4401,7860,984,3115,2144,445,356,342,314,310,335,372,429,289,331,327,311,335,327,295,1647,4391,1692,681,279,2795,470,149,270,13
33,1,7,3,5,2,2,2,2,2,23,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,11,11,11,11,5,5,5,7,60047,120054,62394,6143,5613,1284,1542,62228,4060,2622,8229,1386,2613,4639,1493,1297,2092,206,209,372,425,475,567,424,407,409,467,404,903,516,415,183,2185,1842,530,356,356,2732,1403,1684,1509,12
41,1,5,3,3,3,5,2,2,2,23,10,10,10,10,10,10,10,6,6,6,6,6,6,6,6,2,10,10,10,10,8,8,8,7,60091,120102,64665,6403,9493,1741,7184,62127,2436,3311,2044,10288,2763,11308,2671,1968,2173,108,561,733,405,594,444,1327,2837,826,1438,1263,1172,888,762,1748,2346,2607,1385,514,273,10165,1764,1172,1716,36
25,1,8,8,7,2,7,5,1,7,24,9,9,6,9,9,7,9,7,9,9,6,9,6,9,9,2,9,7,9,9,4,4,4,4,60009,120076,63166,6223,9200,1544,1606,80490,2219,1642,3064,7056,1126,9585,4714,5491,3080,754,795,2267,4155,1937,1707,1968,2156,1767,906,1582,856,1392,1114,2229,1047,3547,2576,1378,1034,5970,825,1466,2580,22
26,2,4,6,6,1,2,1,1,1,21,10,10,11,9,10,9,10,10,10,9,11,11,10,10,10,1,10,10,10,10,3,3,2,2,60044,120085,115687,5817,6267,1259,3098,65730,13992,4379,2889,555,5214,5001,515,441,2751,467,954,1140,860,670,1529,734,873,1365,1184,845,1346,782,5969,733,1434,3799,494,910,1075,18514,783,1144,767,2
18,2,7,7,a,3,3,2,3,5,22,9,9,6,8,8,6,8,6,8,8,8,6,6,6,6,1,8,6,8,8,7,6,7,7,60101,120094,108818,10005,5873,1318,5144,97271,5557,3597,3953,8778,4930,12302,3028,11232,14602,1726,2559,2292,2920,1266,1848,1343,3031,1467,1224,1349,2534,1220,1396,1162,1102,3340,3054,1466,1381,3632,1706,1941,1095,27
34,2,6,6,5,2,6,2,2,8,21,11,8,8,10,10,7,7,6,6,6,6,6,6,6,6,1,10,10,10,10,7,2,7,2,60080,120106,61235,6446,6365,2266,2602,66441,4300,7269,8484,8391,9959,10160,4375,5688,4142,1690,1523,1718,2237,1218,1236,1107,3021,1279,2437,749,865,1210,777,1094,1417,6219,1827,1927,1060,5251,4661,1907,2042,16
42,2,6,7,6,5,7,2,2,2,21,11,11,9,11,8,6,6,6,6,6,6,6,6,6,6,1,9,10,11,10,7,7,8,7,60001,120061,61304,6528,5793,1292,1877,61328,3465,6126,3389,3386,1720,5793,2983,1515,3360,1059,954,1809,1140,1612,1850,1070,848,770,653,655,826,3057,1172,1383,1370,2809,1468,2314,1062,5975,3290,1920,1264,32
